qid;question;keyPhrases;obj;txt;col;cnt;oth,,,,,
10343000;Is this farmland?;['farmland'];1;0;0;0;0,,,,,
103437000;What color is the bowl?;['color', 'bowl'];1;0;1;0;0,,,,
103447001;Is the cat calm?;['cat calm'];1;0;1;0;0,,,,,
103498000;What kind of tree is on the left?;['kind of tree', 'left'];1;0;1;0;0,,,,
103520001;What is covering the elephant?;['elephant'];1;0;1;0;0,,,,,
103746003;How many purple flowers are there?;['purple flowers'];1;0;1;1;0,,,,,
103843004;When would you eat this?;[];1;0;0;0;0,,,,,
103843020;What is this type of food called?;['type of food'];1;0;1;0;0,,,,,
103843026;What category of food is this?;['category of food'];1;0;1;0;0,,,,,
104081001;Are all of the cows the same color?;['cows', 'color'];1;0;1;0;0,,,,
"104146006;What is on the man's head?;[""man's head""];1;0;0;0;0",,,,,
104510016;What kind of animal is the blue stuffed animal?;['kind of animal', 'blue stuffed animal'];1;0;1;0;0,,,,
104661001;How many people in the photo?;['people', 'photo'];1;0;0;1;0,,,,
104825002;Is this a desert?;['desert'];1;0;0;0;0,,,,,
10489001;Where is the plant?;['plant'];1;0;0;0;0,,,,,
105055021;Who took the picture?;['picture'];1;0;0;0;0,,,,,
105172030;What is the elephant carrying?;['elephant'];1;0;1;0;0,,,,,
105246004;Is the scenic route to the right?;['scenic route', 'right'];1;1;0;0;0,,,,
105532004;How many men are in the line?;['men', 'line'];1;0;0;1;0,,,,
105594002;Why are there dark lines on the bread?;['dark lines', 'bread'];1;0;1;0;0,,,,
105640000;Is the snow melting?;['snow'];1;0;0;0;0,,,,,
10566004;What color is the light?;['color', 'light'];1;0;1;0;0,,,,
105865009;What is the color of the fridge?;['color', 'fridge'];1;0;1;0;0,,,,
106151000;Did these sheep climb to the top of this mountain?;['sheep', 'mountain'];1;0;1;0;0,,,,
106241003;Is the sky cloudy?;['sky cloudy'];1;0;1;0;1,,,,,
106387002;Is this a man?;['man'];1;0;1;0;0,,,,,
106521001;Are they about to go skiing?;['skiing'];1;0;0;0;0,,,,,
106704005;Is that bike seat soft?;['bike seat soft'];1;0;0;0;0,,,,,
10702012;What are the zebras standing on?;['zebras'];1;0;0;0;0,,,,,
107109012;What is on?;[];1;0;0;0;0,,,,,
107119000;Which side is player 14 on?;['player'];1;1;1;0;0,,,,,
107424006;How many plants are there?;['plants'];1;0;0;1;0,,,,,
107745001;Has it recently rained?;[];1;0;0;0;0,,,,,
107747002;What type of building is in the background?;['type of building', 'background'];1;0;1;0;0,,,,
107747015;How many stories is the clock tower?;['stories', 'clock tower'];1;0;0;1;0,,,,
10784000;Is this a supermarket chain?;['supermarket chain'];1;1;0;0;0,,,,,
107868002;What is sitting behind the fruit?;['fruit'];1;0;0;0;0,,,,,
107884030;How many vehicles are in this picture?;['vehicles', 'picture'];1;0;0;1;0,,,,
107886009;What kind of dessert is on this plate?;['kind of dessert', 'plate'];1;0;0;0;0,,,,
107941009;What number is on the sign?;['number', 'sign'];1;1;0;1;0,,,,
107982003;Why does the cat sleep on top of the microwave?;['cat sleep', 'microwave'];1;0;1;0;0,,,,
108020004;How many giraffes are in the picture?;['giraffes', 'picture'];1;0;1;1;0,,,,
108034003;Are the people conversing?;['people'];1;0;0;0;0,,,,,
108075001;What is the person holding?;['person'];1;0;0;0;0,,,,,
108093000;What numbers are on the train?;['numbers', 'train'];1;0;0;1;0,,,,
108156004;What type of truck is in the mirror?;['type of truck', 'mirror'];1;0;0;0;0,,,,
108200000;Does this mountain look very steep?;['mountain'];1;0;1;0;0,,,,,
108254003;How many squares are lit up?;['squares'];1;0;1;1;0,,,,,
108360026;What is the little boy doing?;['little boy'];1;0;1;0;0,,,,,
108430004;What color is the grass?;['color', 'grass'];1;0;1;0;0,,,,
108500014;Is this picture likely taken in an English- or non-English-speaking country?;['non-English', 'country', 'picture'];1;1;1;0;0,,,
108500022;What is the company being advertise on the truck?;['company', 'truck'];1;1;0;0;0,,,,
108598002;Is there anyone in the bathroom?;['bathroom'];1;0;1;0;0,,,,,
108642003;What is the woman holding?;['woman'];1;0;0;0;0,,,,,
108751004;Is someone traveling?;[];1;0;0;0;0,,,,,
10877002;What room is this?;['room'];1;0;0;0;0,,,,,
109145009;Is there a lot of counter room?;['lot of counter room'];1;0;0;1;0,,,,,
10948012;What is the woman holding by her ear?;['woman', 'ear'];1;0;0;0;0,,,,
109506009;Does this street look safe?;['street'];1;1;1;0;0,,,,,
109542002;What type of bears are in the photo?;['type of bears', 'photo'];1;0;0;0;0,,,,
109572004;What breed of dog is this?;['dog'];1;0;1;0;0,,,,,
109608001;Do you think she is dodging a tennis ball or jumping for joy?;['tennis ball', 'joy'];1;0;0;0;0,,,,
109708000;How many compact disks are stacked up against the wall?;['compact disks', 'wall'];1;0;0;1;0,,,,
109783008;What time is it?;['time'];1;1;0;1;0,,,,,
110060000;Is this an adult?;['adult'];1;0;0;0;0,,,,,
110142004;Does the boy need balance?;['boy', 'balance'];1;0;1;0;0,,,,
11029001;Is the bear sleeping?;['bear sleeping'];1;0;0;0;0,,,,,
110298001;Does this take place within an urban area?;['place', 'urban area'];1;0;0;0;0,,,,
110308000;What color is the clock?;['color', 'clock'];1;0;1;0;0,,,,
110493005;Where is the desert located?;['desert'];1;0;1;0;0,,,,,
110790000;Are the fingers normal?;['fingers normal'];1;0;0;0;0,,,,,
"110962001;What is on the man's pizza?;[""man's pizza""];1;1;0;0;0",,,,,
111318001;What time is on the clock?;['time', 'clock'];1;1;0;1;0,,,,
111348016;What time is it?;['time'];1;1;0;1;0,,,,,
11146001;Are the lights on?;['lights'];1;0;1;0;0,,,,,
111536001;What is sticking in the snow?;['snow'];1;0;0;0;0,,,,,
111591002;How many birds are pictured?;['birds'];1;0;0;1;0,,,,,
111606000;Can you have this with rice?;['rice'];1;0;0;0;0,,,,,
111612003;Is the man on the yellow board surfing?;['man', 'yellow board surfing'];1;0;1;0;0,,,,
111705000;How many plates are over the table?;['plates', 'table'];1;0;0;1;0,,,,
111716010;Is the skateboarder trying to impress someone?;['skateboarder'];1;0;0;0;0,,,,,
111716024;What is the shadow of in this photo?;['shadow', 'photo'];1;0;1;0;0,,,,
111853001;Are there any passengers in the train?;['passengers', 'train'];1;0;0;0;0,,,,
111940009;Is this a used motorcycle lot?;['used motorcycle lot'];1;0;0;0;0,,,,,
112031000;What is the person doing?;['person'];1;0;0;0;0,,,,,
112106002;What does the graffiti say?;['graffiti'];1;1;0;0;0,,,,,
112410001;Does the plane have a baby?;['plane', 'baby'];1;0;0;0;0,,,,
112801000;At what time of day would this meal be served?;['time of day', 'meal'];1;0;1;0;1,,,,
112849003;What brand is this truck?;['brand', 'truck'];1;1;0;0;0,,,,
113127003;Does the dog look happy?;['dog'];1;0;0;0;0,,,,,
113326000;What word is shown at the bottom of the cake?;['word', 'cake'];1;1;0;0;0,,,,
113338000;What time is it?;['time'];1;1;0;0;0,,,,,
113391001;How many bookshelves are there?;['bookshelves'];1;0;0;1;0,,,,,
113501002;Is he practicing a dangerous sport?;['dangerous sport'];1;0;0;0;0,,,,,
113762001;How many cats are here?;['cats'];1;0;0;1;0,,,,,
113857004;What are they doing with their hands?;['hands'];1;0;0;0;0,,,,,
1139002;Is this cat watching TV?;['cat', 'TV'];1;0;0;0;0,,,,
113962000;What are green on the pizza?;['pizza'];1;0;1;0;0,,,,,
114045000;What is blooming in the picture?;['picture'];1;0;1;0;0,,,,,
114101007;What kind of truck is this?;['kind of truck'];1;1;0;0;0,,,,,
114288002;How many people are standing on the side of the street?;['people', 'street'];1;0;0;1;0,,,,
114310004;Is it daytime or night in this photo?;['night', 'photo'];1;0;1;0;0,,,,
114540002;How many numbers are on the boat?;['numbers', 'boat'];1;0;0;1;0,,,,
114561002;What does the man have on his wrist?;['man', 'wrist'];1;0;0;0;0,,,,
114624002;Is this a normal sight in your city?;['normal sight', 'city'];1;1;0;0;0,,,,
114718006;Is this a petting zoo?;['petting zoo'];1;0;1;0;0,,,,,
114788004;Does the man have good teeth?;['man', 'good teeth'];1;0;0;0;0,,,,
114917001;What are the white square things on the counter in the background?;['counter', 'white square things', 'background'];1;0;1;0;0,,,
114978018;What color is his coat?;['color', 'coat'];1;0;1;0;0,,,,
11508002;What color are these shoes?;['color', 'shoes'];1;0;1;0;0,,,,
115270009;What color is the monitor?;['color', 'monitor'];1;0;1;0;0,,,,
11528003;Is the background clear?;['background clear'];1;1;0;0;0,,,,,
115358002;Is it high tide?;['high tide'];1;0;1;0;0,,,,,
115392018;How many people are in the drawing?;['people', 'drawing'];1;0;0;1;0,,,,
115421001;What is on the garbage can?;['garbage'];1;0;0;0;0,,,,,
115633003;Could this train be powered electrically?;['train'];1;0;0;0;0,,,,,
115851002;What color is the bench?;['color', 'bench'];1;0;1;0;0,,,,
115911001;What time of day is it?;['time of day'];0;0;0;0;0,,,,,
116088014;What are the kids riding?;['kids'];1;0;1;0;0,,,,,
116123000;What is in the water?;['water'];1;0;0;0;0,,,,,
116210020;What sport is the man playing?;['sport', 'man'];1;0;0;0;0,,,,
11658007;How many boats are there?;['boats'];1;0;1;1;0,,,,,
116783015;What does the truck say?;['truck'];1;1;1;0;0,,,,,
11697006;What girl's name is on the purple sign at the top right?;['purple sign'," ""girl's""", 'right'];1;1;0;0;0,,,
117116002;Why are all the umbrellas closed?;['umbrellas'];1;0;1;0;0,,,,,
117262004;What is in the sky?;['sky'];1;0;0;0;0,,,,,
117307000;Where is the black cord?;['black cord'];1;0;1;0;0,,,,,
117677001;What color is her hat?;['color', 'hat'];1;0;1;0;0,,,,
117784017;What time of day is it?;['time of day'];1;0;0;0;0,,,,,
118104001;Is this photo straight?;['photo'];1;0;1;0;0,,,,,
118150000;What are they cooking?;[];1;0;0;0;0,,,,,
118162005;Is he wearing a shirt?;['shirt'];1;0;0;0;0,,,,,
118171001;What are these men wearing on their feet?;['men', 'feet'];1;0;1;0;0,,,,
118242001;Is that a large elephant?;['large elephant'];1;0;0;0;0,,,,,
118356008;How tall is the little girl?;['little girl'];1;0;0;1;0,,,,,
118404002;What is the name of the town on the bus marquee?;['town', 'bus marquee'];1;1;0;0;0,,,,
118680000;What color are the cat's eyes?;['color'," ""cat's eyes""];1;0;1;0;0",,,,
118703005;How many stories of the building are showing?;['stories', 'building'];1;0;0;1;0,,,,
118703025;Can you tell me what the truck sign says?;['truck sign'];1;1;0;0;0,,,,,
118777001;How many lights are on top of each pole?;['lights', 'pole'];1;0;0;1;0,,,,
118918026;Why is there a vertical line near the right end of the wall mirror?;['right end', 'wall mirror', 'vertical line'];1;0;1;0;0,,,
118934005;Is the sky cloudy?;['sky cloudy'];1;0;1;0;0,,,,,
118989003;What color are the buses?;['color', 'buses'];1;0;1;0;0,,,,
119115005;Which pterodactyl is female?;['pterodactyl'];1;0;1;0;0,,,,,
119118001;Is there a receptacle to dispose trash?;['receptacle', 'trash'];1;0;0;0;0,,,,
119141003;How many windows are on the bus?;['windows', 'bus'];1;0;0;1;0,,,,
119297038;Is the sport fast?;['sport'];1;0;1;0;0,,,,,
119358003;What brand of sink is this?;['brand of sink'];1;0;0;0;0,,,,,
119458026;What is the man looking at?;['man'];1;0;0;0;0,,,,,
"119488007;Does the cat's tail touch the pillow?;[""cat's tail""", 'pillow'];1;0;1;0;0,,,,
119614003;Does the cat want to travel?;['cat'];1;0;1;0;0,,,,,
119666006;How many cylinders does this truck likely have?;['cylinders', 'truck'];1;0;0;1;0,,,,
119760000;Is that a court show on TV?;['court', 'TV'];1;0;1;0;0,,,,
120044004;When was the photo taken?;['photo'];1;0;0;0;0,,,,,
120059001;How old do you think this woman is?;['woman'];1;0;0;1;0,,,,,
120385000;Where is the barn-red bench?;['barn-red bench'];1;1;1;0;0,,,,,
120642019;What time was this picture taken?;['time', 'picture'];1;0;1;1;0,,,,
120744002;How many people use this bed?;['people', 'bed'];1;0;0;1;0,,,,
120785007;How many people are in the picture?;['people', 'picture'];1;0;0;1;0,,,,
12079000;What does the woman have in her hand?;['woman', 'hand'];1;0;1;0;0,,,,
121047003;What sport is this?;['sport'];1;0;1;0;0,,,,,
121047006;Are they in a park?;['park'];1;1;0;0;0,,,,,
121249002;What numbers are there?;['numbers'];1;1;0;1;0,,,,,
12131006;What is the guy doing?;['guy'];1;0;1;0;0,,,,,
121363002;Could the floor use a mopping?;['floor', 'mopping'];1;0;0;0;0,,,,
12145002;What are the colors most prominently represented?;['colors'];1;0;1;0;0,,,,,
121565002;Will this person need to brush his or her teeth?;['person', 'teeth'];1;0;1;0;0,,,,
12182002;What color is this man's shirt?;['color'," ""man's shirt""];1;0;1;0;0",,,,
121902001;What is the purpose of lining the pan?;['purpose', 'pan'];1;0;0;0;0,,,,
122001003;Is the woman on the chair getting a haircut?;['woman', 'chair', 'haircut'];1;0;1;0;0,,,
122028000;What type of dog is this?;['type of dog'];1;0;1;0;0,,,,,
12224001;Why are these boys under the umbrella because of the rain?;['boys', 'umbrella', 'rain'];1;1;0;0;0,,,
122335000;What sport is this person doing?;['sport', 'person'];1;0;0;0;0,,,,
12249005;What kind of food is on the plate?;['kind of food', 'plate'];1;0;0;0;0,,,,
"122511001;How many umbrella's are there?;[""umbrella's""];1;0;0;1;0",,,,,
122597001;How many bears are wearing pants?;['bears', 'pants'];1;0;0;1;0,,,,
122631001;Where is the lady?;['lady'];1;0;0;0;0,,,,,
122750020;How many skiers do you see?;['skiers'];1;0;0;1;0,,,,,
12284001;Is this a natural body of water?;['natural body of water'];1;0;1;0;0,,,,,
122854000;How many bunks are there?;['bunks'];1;0;0;1;0,,,,,
122937004;Has this mitt been used?;['mitt'];1;0;0;0;0,,,,,
122964005;What time of day is it in this picture?;['time of day', 'picture'];1;0;0;0;0,,,,
123166002;Why is the woman standing on one leg?;['woman', 'leg'];1;0;0;0;0,,,,
123330014;Where is the pizza?;['pizza'];1;0;0;0;0,,,,,
123351001;Is the plant taller than the clock?;['plant taller', 'clock'];1;1;0;0;0,,,,
123413006;Is the animal using the computer?;['animal', 'computer'];1;0;1;0;0,,,,
123799003;Are there islands?;['islands'];1;0;0;0;0,,,,,
123837001;Are sausages healthy?;['sausages healthy'];1;0;1;0;0,,,,,
123851000;What is sitting on the table in front of the lady?;['table', 'lady'];1;0;0;0;0,,,,
123851001;How old is the lady?;['lady'];1;0;0;1;0,,,,,
123891000;Can you see through the forest?;['forest'];1;0;1;0;0,,,,,
123921134;Is the cat relaxing?;['cat relaxing'];1;0;0;0;0,,,,,
124067006;Is there tofu in the salad?;['tofu', 'salad'];1;0;1;0;0,,,,
124197000;What race is this man?;['race', 'man'];1;0;1;0;0,,,,
12428000;How many apples are there?;['apples'];1;0;1;1;0,,,,,
124306001;Is this person happy?;['person happy'];1;0;0;0;0,,,,,
124349000;Is the fridge full?;['fridge'];1;0;1;0;0,,,,,
124577002;Are there more vegetables on the plate than meat?;['vegetables', 'plate', 'meat'];1;0;0;1;0,,,
12460015;Is the girl happy?;['girl happy'];1;0;1;0;0,,,,,
124734003;What color are the roses?;['color', 'roses'];1;0;1;0;0,,,,
124829001;Do you need a fork to eat this?;['fork'];1;0;1;0;0,,,,,
"125275013;How much are banana's a pound?;[""banana's""", 'pound'];1;1;0;1;0,,,,
12544004;What modes of transport are in the photo?;['modes of transport', 'photo'];1;0;0;0;0,,,,
125626009;Do the elephants live on a farm?;['elephants', 'farm'];1;0;0;0;0,,,,
125720007;What are the people looking at?;['people'];1;1;1;0;0,,,,,
125735004;How many horses are there?;['horses'];1;0;0;1;0,,,,,
125882002;What room is this?;['room'];1;0;0;0;0,,,,,
126059000;What kind of food is this?;['kind of food'];1;0;0;0;0,,,,,
12620001;Is there an animal only partially in frame?;['animal', 'frame'];1;0;0;0;0,,,,
126239008;Is that English?;['English'];1;0;0;0;0,,,,,
126281001;How many bikes?;['bikes'];1;0;0;1;0,,,,,
126347002;Does the Ocean touch the sky?;['Ocean', 'sky'];1;0;1;0;0,,,,
126355001;What is the man wearing?;['man'];1;0;1;0;0,,,,,
126408005;Is this person ready?;['person ready'];1;0;0;0;0,,,,,
126531006;Where is the teddy bear?;['teddy bear'];1;0;0;0;0,,,,,
126531017;What TV show is this referring to?;['TV'];1;0;0;0;0,,,,,
126734007;What vehicles are the people riding?;['vehicles', 'people'];1;0;1;0;0,,,,
126803001;Is this person a student?;['person', 'student'];1;0;0;0;0,,,,
126832001;Where are the cats looking?;['cats'];1;0;0;0;1,,,,,
126906000;What is the person wearing?;['person'];1;0;0;0;0,,,,,
12701001;Is it a sunny or clouding day?;['clouding day'];1;0;1;0;0,,,,,
127076010;How old is the child in the picture?;['child', 'picture'];1;0;0;1;0,,,,
127214003;Where are the elephants walking?;['elephants walking'];1;0;1;0;0,,,,,
12726000;What is the name of this company?;['company'];1;1;1;0;0,,,,,
127284012;Where is the dog at?;['dog'];1;0;1;0;0,,,,,
127284020;Is the sky cloudy?;['sky cloudy'];1;0;1;0;0,,,,,
127284029;Is the man wearing glasses?;['man', 'glasses'];1;0;0;0;0,,,,
127306001;What color is his jacket?;['color', 'jacket'];1;0;1;0;0,,,,
127491000;Is the window broken?;['window'];1;0;0;0;0,,,,,
127491004;Is this a house?;['house'];1;0;0;0;0,,,,,
127558001;What room is this?;['room'];1;0;0;0;0,,,,,
127654004;Why is the teddy bear laying on the sidewalk?;['teddy bear laying', 'sidewalk'];1;1;0;0;0,,,,
127712014;What is your favorite brand of orange juice?;['favorite brand of orange juice'];1;1;0;0;0,,,,,
127747009;What is the color of the cloud?;['color', 'cloud'];1;0;1;0;0,,,,
127869006;What is the man sitting on?;['man'];1;0;0;0;0,,,,,
127882000;How many people are eating this hotdog?;['people', 'hotdog'];1;0;0;1;0,,,,
127899002;What is on the bedspread?;['bedspread'];1;0;1;0;0,,,,,
127986002;How many times has she hit the ball?;['times', 'ball'];1;0;0;1;0,,,,
128008000;What is in the girls pocket?;['girls pocket'];1;0;0;0;0,,,,,
128312004;What is the name of this landmark?;['landmark'];1;0;0;0;0,,,,,
128320009;What is the latest this photo could be dated?;['photo'];1;0;1;1;0,,,,,
128328000;Are there any living things pictured?;['living things'];1;0;0;0;0,,,,,
128398000;Is this a vegetarian meal?;['vegetarian meal'];1;0;0;0;0,,,,,
128482016;Is he serving?;[];1;0;0;0;0,,,,,
128647005;What brand is on the man's shirt?;['brand'," ""man's shirt""];1;0;1;0;0",,,,
128826003;Is this an interview?;['interview'];1;0;0;0;0,,,,,
128977000;What sport is being demonstrated here?;['sport'];1;0;0;0;0,,,,,
129176003;How many horses are there?;['horses'];1;0;0;1;0,,,,,
129313002;How many burners does the range have?;['burners', 'range'];1;0;0;1;0,,,,
129509002;What is he holding?;[];1;0;1;0;0,,,,,
129563010;How many burners are on?;['burners'];1;1;0;1;0,,,,,
12996001;Is the animal a puppy?;['animal', 'puppy'];1;0;0;0;0,,,,
130006003;How many slices are left?;['slices'];1;0;0;1;0,,,,,
130065002;Are the dogs asleep?;['dogs asleep'];1;0;0;0;0,,,,,
130088002;Which fruit has dark colored seeds inside?;['fruit', 'dark colored seeds'];1;0;1;0;0,,,,
130245000;What is the score?;['score'];1;1;0;1;0,,,,,
130280002;Is this boy scared while learning skiing?;['boy', 'skiing'];1;0;0;0;0,,,,
130295001;Is the a new photo?;['new photo'];1;0;1;0;0,,,,,
130295018;What is the woman looking down at?;['woman'];1;0;1;0;0,,,,,
130339000;Are the people feeding the giraffes?;['people', 'giraffes'];1;0;0;0;0,,,,
130402002;Is this a tiny model?;['tiny model'];1;0;1;0;0,,,,,
130517003;How many colors are on the kite?;['colors', 'kite'];1;0;1;1;0,,,,
130588001;What objects are being used to prop up the support post on the fence?;['support post', 'fence', 'objects'];1;0;0;0;0,,,
130607000;Are they playing a team sport?;['team sport'];1;0;1;0;0,,,,,
130884012;What is on the floor near the toilet?;['floor', 'toilet'];1;0;0;0;0,,,,
130897002;Are those Woodys is the background?;['Woodys', 'background'];1;0;1;0;0,,,,
131015003;Count the different patterns?;['different patterns'];1;0;1;1;0,,,,,
131118002;Are this cargo planes?;['cargo planes'];1;0;0;0;0,,,,,
131190023;Is the clock between two arches?;['clock', 'arches'];1;1;0;0;0,,,,
131245002;What is the boy doing?;['boy'];1;0;0;0;0,,,,,
13129058;What vegetables can be seen?;['vegetables'];1;0;1;0;0,,,,,
131339007;Is the woman surfing?;['woman surfing'];1;0;0;0;0,,,,,
"131509001;Can you see the shop's name?;[""shop's""];1;1;0;0;0",,,,,
131524001;What are the shingles made of?;['shingles'];1;0;0;0;0,,,,,
131570002;Does someone have a sense of color coordination?;['sense of color coordination'];1;0;1;0;0,,,,,
131665062;Is the person sleeping?;['person'];1;0;0;0;0,,,,,
131665075;Is the woman standing or sitting down?;['woman'];1;1;0;0;0,,,,,
131780001;What is on top of the SUV?;['SUV'];1;0;0;0;0,,,,,
131825001;Which hand is this man writing with?;['hand', 'man'];1;0;0;0;0,,,,
131884000;Does the trash can need to be emptied?;['trash'];1;0;1;0;0,,,,,
131894001;What is the width of the toilet and sink area?;['width', 'toilet', 'area'];1;0;0;1;0,,,
131909019;How many people are in the picture?;['people', 'picture'];1;0;0;1;0,,,,
131909035;Why must the tables be made of stainless steel in this environment?;['stainless steel', 'tables', 'environment'];1;0;0;0;0,,,
13198005;What color is the fire hydrant?;['color', 'hydrant'];1;0;1;0;0,,,,
132057006;What are the main colors in the picture?;['main colors', 'picture'];1;0;1;0;0,,,,
132170029;What breed of dog is it?;['dog'];1;0;1;0;0,,,,,
132249000;Is this an asian elephant?;['asian elephant'];1;0;0;0;0,,,,,
132262001;What is the last word on the note?;['word', 'note'];1;1;0;0;0,,,,
132310017;Are they having fun?;['fun'];1;0;0;0;0,,,,,
13249002;Is there a wedding going on in the background?;['wedding', 'background'];1;0;0;0;0,,,,
132538017;Can you give count the amount of bananas?;['bananas'];1;0;0;1;0,,,,,
132778006;Can you turn right?;[];1;0;1;0;0,,,,,
132838016;What caused the marks on the concrete in this photograph?;['marks', 'concrete', 'photograph'];1;0;1;0;0,,,
13284001;What color shirt is the bear on the left wearing?;['bear', 'color shirt', 'left wearing'];1;0;1;0;0,,,
13285002;What is the trick the skateboarder is doing down the handrail?;['skateboarder', 'trick', 'handrail'];1;0;0;0;0,,,
132889000;How many shakers of condiments do you see?;['shakers of condiments'];1;0;0;1;0,,,,,
132973000;Do the windows have blinds?;['windows', 'blinds'];1;0;1;0;0,,,,
133013000;Where is the plane from?;['plane'];1;0;0;0;0,,,,,
133114003;What is the weather?;['weather'];1;0;1;0;0,,,,,
133315013;What is flying in the air?;['air'];1;0;1;0;0,,,,,
133456000;How many sheep are in the picture?;['sheep', 'picture'];1;0;0;1;0,,,,
"133609000;Would ""House Beautiful"" show this innovative arrangement?;['House Beautiful'", 'innovative arrangement'];1;0;0;0;0,,,,
133909002;Did the cat do something wrong?;['cat'];1;0;0;0;0,,,,,
134037005;What year was the photo taken?;['year', 'photo'];1;0;0;1;0,,,,
134039001;Are any people in the photo?;['people', 'photo'];1;0;0;1;0,,,,
134268000;What time is it?;['time'];1;1;0;1;0,,,,,
134294022;Is this room a home?;['room', 'home'];1;0;0;0;1,,,,
134294030;How many knobs are on the drawer?;['knobs', 'drawer'];1;0;0;1;0,,,,
134622006;What number is the umpire wearing?;['number', 'umpire'];1;1;0;1;0,,,,
134640003;What color are the rocks?;['color', 'rocks'];1;0;1;0;0,,,,
134818000;What type of bakery is this from?;['type of bakery'];1;1;0;0;0,,,,,
135251004;How many cows are standing?;['cows'];1;0;0;1;0,,,,,
135577000;How many cats are sleeping on the left?;['cats', 'left'];1;0;0;1;0,,,,
135676002;What type of glasses are on the table?;['type of glasses', 'table'];1;0;0;0;0,,,,
135754002;Is this person a world-class professional athlete?;['person', 'world-class professional athlete'];1;0;0;0;0,,,,
135761000;Are these roses smell good?;['roses'];1;0;0;0;1,,,,,
136097003;How is taken the picture?;['picture'];1;0;0;0;0,,,,,
136200005;What medical term would be used to describe the relationship between these girls?;['medical term', 'relationship', 'girls'];1;0;1;0;0,,,
136200010;Is she going to lick off the spoon?;['spoon'];1;0;0;0;0,,,,,
136230000;How many monitors are seen?;['monitors'];1;0;0;1;0,,,,,
136232007;What is this food?;['food'];1;0;0;0;0,,,,,
136310003;What is above the people?;['people'];1;0;0;0;0,,,,,
136346003;What is the number of the yellow bus?;['number', 'yellow bus'];1;1;0;1;0,,,,
136570020;What brand of phone is this?;['brand of phone'];1;1;0;0;0,,,,,
136687001;Is that a remote or phone in his hand?;['phone', 'hand'];1;0;0;0;0,,,,
136704004;What does the sign say?;['sign'];1;1;0;0;0,,,,,
136832002;What are they watching on TV?;['TV'];1;0;0;0;0,,,,,
13731004;Where is the plastic fork?;['plastic fork'];1;0;0;0;0,,,,,
137711001;How many people are in this picture?;['people', 'picture'];1;0;0;1;0,,,,
137847002;Is there another animal besides the giraffe?;['animal', 'giraffe'];1;0;1;0;0,,,,
138315000;What color shoes does he have?;['color shoes'];1;0;1;0;0,,,,,
138367000;Are their two dozen donuts?;['dozen donuts'];1;0;0;1;0,,,,,
138514000;What team is this for?;['team'];1;1;0;0;0,,,,,
