qid,IMG,QSN,ANS_TYP,TXT,OBJ,COL,CNT,OTH,ANS1,ANS2,ANS3,ANS4,ANS5,ANS6,ANS7,ANS8,ANS9,ANS10
VizWiz_train_000000000064.jpg,VizWiz_train_000000000064.jpg,"What flavor is this, please?",other,1,1,0,0,0,unsuitable,vanilla,unsuitable,vanilla,flavor unreadable,vanilla,vanilla,vanilla,unanswerable,vanilla
VizWiz_train_000000000069.jpg,VizWiz_train_000000000069.jpg,What canned good is this? ,other,1,1,0,0,0,olives,manwich,olives,unsuitable,unsuitable,manwich,manwich,sloppy joe sauce,manwich,chicken soup
VizWiz_train_000000000070.jpg,VizWiz_train_000000000070.jpg,What does the display say?,other,1,1,0,1,0,frequency,frequency audio,frequency,frequency,frequency 87 audiomode: ste cut off,unsuitable,unclear,frequency 8%,frequency audiomode,frequency
VizWiz_train_000000000073.jpg,VizWiz_train_000000000073.jpg,What are these called?,other,1,1,0,0,0,cough drop,premiere value cough drops,cough drops,cough drops,cough drops,cough drops,cough drops,cough drops,cough drops,premier value menthol eucalyptus cough drops
VizWiz_train_000000000077.jpg,VizWiz_train_000000000077.jpg,What kind of drink is it?,other,1,1,0,0,0,lemon aid,capri son,minute maid color pink lemonade,minute maid coolers,minute made coolers pink lemonade,minute maid coolers,minute made coolers lemon,lemon minute maid,minute maid coolers lemon,minute maid coolers lemon
VizWiz_train_000000000078.jpg,VizWiz_train_000000000078.jpg,Is that 7-up?,yes/no,0,1,0,0,0,no,yes,no,no,no,no,no,no,no,no
VizWiz_train_000000000079.jpg,VizWiz_train_000000000079.jpg,Hi is there a Speedo logo on the side of the swimming hat?,yes/no,1,1,0,0,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
VizWiz_train_000000000080.jpg,VizWiz_train_000000000080.jpg,What is this in front of me?,other,0,1,0,0,0,right leg,gym shoe,shoe,your foot,foot,shoe,foot,shoe,foot,foot
VizWiz_train_000000000081.jpg,VizWiz_train_000000000081.jpg,Is my - is my light on?,yes/no,0,1,1,0,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
VizWiz_train_000000000082.jpg,VizWiz_train_000000000082.jpg,What is in this jar? What type of food?,other,1,1,0,0,0,chinese style mustard,mustard,mustard,mustard,mustard,unsuitable,chinese style mustard,chinese spicy mustard,chinese mustard,mustard
VizWiz_train_000000000083.jpg,VizWiz_train_000000000083.jpg,What am I looking at?,other,0,1,1,0,0,television,tv dvd player,tv stand,entertainment center,television entertainment center,entertainment center,unanswerable,tv,tv console,tv on tv stand
VizWiz_train_000000000085.jpg,VizWiz_train_000000000085.jpg,What is this,other,0,1,1,0,0,coffee pot,coffee maker,coffe maker,coffee maker,coffee maker,coffee maker,coffee maker,coffe maker,coffee pot,coffee pot
VizWiz_train_000000000086.jpg,VizWiz_train_000000000086.jpg,what color is his shirt,other,0,1,1,0,0,grey,grey,grey,grey,grey,grey,grey,grey,white,grey
VizWiz_train_000000000090.jpg,VizWiz_train_000000000090.jpg,Can you please tell me if you see the headphones in the photo? ,yes/no,0,1,1,0,0,no,unanswerable,no,no,no,no,no,no headphones,no,no
VizWiz_train_000000000092.jpg,VizWiz_train_000000000092.jpg,What type of tree is this?,other,0,1,1,0,0,oak,oak,oak,unanswerable,oak,elm,elm,oak,oak,european curved 1 way
VizWiz_train_000000000093.jpg,VizWiz_train_000000000093.jpg,What is this?,unanswerable,1,1,0,0,0,tools,unanswerable,tools book phone,telephone,ratchet set,junk,book in toolbox,unsuitable,unanswerable,unsuitable
VizWiz_train_000000000094.jpg,VizWiz_train_000000000094.jpg,What is this bottle?,other,1,1,0,0,0,unsuitable,bathroom cleaner,unanswerable,lysol cleaner,clorox cleaner,clorox,cleaner,clorox,cleaner,clorox
VizWiz_train_000000000098.jpg,VizWiz_train_000000000098.jpg,"Hi, what can you see in this page that I have scanned with my phone camera?",other,1,1,0,0,0,text,yes,text from page in book,yes,text,words,court case descriptions,unsuitable,book page,upside down cut off
VizWiz_train_000000000099.jpg,VizWiz_train_000000000099.jpg,Tell me what spice this is please.,other,1,1,0,0,0,steak seasoning,steak seasoning,steak seasoning,steak seasoning,steak seasoning,steak seasoning,steak seasoning,steak seasoning,steak seasoning,steak seasoning
VizWiz_train_000000000100.jpg,VizWiz_train_000000000100.jpg,What kind of snacks are these?,other,1,1,0,0,0,chips,unsuitable,healthy snack,unanswerable,whole grain,chips,chips,chips,unanswerable,whole grain
VizWiz_train_000000000103.jpg,VizWiz_train_000000000103.jpg,How much money is it?,number,1,1,0,1,0,100,100,100,100,100,$100,100,100 rupees,100,100
VizWiz_train_000000000104.jpg,VizWiz_train_000000000104.jpg,What is this?,other,0,1,1,0,0,cup,cup,mug,yellow coffee mug,yellow coffee mug,mug,yellow coffee mug,mug,mug,coffee mug
VizWiz_train_000000000105.jpg,VizWiz_train_000000000105.jpg,"Tell me, what's this thing?",other,0,1,0,0,0,i pad,tablet,tablet,ipad,ipad,tablet,ipad,ipad,ipad,tablet
VizWiz_train_000000000106.jpg,VizWiz_train_000000000106.jpg,What is on the front of my shirt?,unanswerable,0,1,0,0,0,unanswerable,dandruff,nothing,unsuitable,dandruff,nothing,unanswerable,unanswerable,no,dandruff
VizWiz_train_000000000108.jpg,VizWiz_train_000000000108.jpg,What is this?,other,0,1,0,0,0,packet,tissue,tissue,tissues,tissues,tissue box,box tissues,tissues,tissues,facial tissues
VizWiz_train_000000000110.jpg,VizWiz_train_000000000110.jpg,What does the sky look like? Thank you.,other,0,1,1,0,0,it?»s dark flash camera showing,dark,black,dark,unsuitable,dark,dark,unsuitable,black,unanswerable
VizWiz_train_000000000112.jpg,VizWiz_train_000000000112.jpg,Can you tell me what this is?,other,1,1,0,0,0,ketchup,heinz tomato ketchup,ketchup,heinz tomato ketchup,ketchup,heinz tomato ketchup,ketchup,ketchup,tomato ketchup,ketchup
VizWiz_train_000000000113.jpg,VizWiz_train_000000000113.jpg,What is that?,other,0,1,0,0,0,phone,phone,phone lamp,lamp phone,phone,lamp telephone,lamp,desk lamp,telephone,telephone
VizWiz_train_000000000114.jpg,VizWiz_train_000000000114.jpg,What kind of coffee is this?,other,1,1,1,0,0,keurig,house blend,house blend,house blend,house blend,house blend,van houtte house blend,house blend melange,van white,house blend
VizWiz_train_000000000115.jpg,VizWiz_train_000000000115.jpg,Is this butter salted or unsalted?,other,1,1,0,0,0,unsalted,unsalted,unsalted,unsalted,unsalted,unsalted,unsalted,bgdfbd,unsalted,unsalted
VizWiz_train_000000000116.jpg,VizWiz_train_000000000116.jpg,What colors are in this sweater?,other,0,1,1,0,0,pink green white,pink brown green white,pink white green,pink white,pink white tan,white pink green,white pink green,pink white green,pink green white,mostly pink cream shoulders green pink details
VizWiz_train_000000000117.jpg,VizWiz_train_000000000117.jpg,What is that?,other,1,1,0,0,0,mailbox,mailbox,mailbox,mailbox,mailbox,usps mail box,post office drop box,iits post office mailbox,mailbox,mailbox
VizWiz_train_000000000118.jpg,VizWiz_train_000000000118.jpg,"I've changed the box, or turned it around.  Can you make the expiration date out now?",yes/no,1,1,0,0,0,no,no,no,no,no,no,unsuitable,no,no,unsuitable
VizWiz_train_000000000122.jpg,VizWiz_train_000000000122.jpg,What color is this shirt?,other,0,1,1,0,0,grey white,white tan blue stripes,white grey stripes,white striped,white,tan white,grey,white blue brown,white,white red
VizWiz_train_000000000124.jpg,VizWiz_train_000000000124.jpg,What is in this bottle? ,other,1,1,1,0,0,shampoo,shampoo,shampoo,pantene pro v,shampoo,shampoo,shampoo,pantene,classic pantene shampoo,pantene
VizWiz_train_000000000127.jpg,VizWiz_train_000000000127.jpg,What color is this shirt?,other,0,1,1,0,0,pink,pink,pink,red,red,pink,pink,pink,red,dfgsdfsg
VizWiz_train_000000000128.jpg,VizWiz_train_000000000128.jpg,Whats this?,other,1,1,0,0,0,keyboard,keyboard,keyboard,keyboard,keyboard,keyboard,keyboard,keyboard,keyboard,unanswerable
VizWiz_train_000000000129.jpg,VizWiz_train_000000000129.jpg,Which shirt is green?,other,0,1,1,0,0,bottom right,0,2nd 1 down on right,bottom right,under blue,right,left shirt has green bottom,bottom,bottom,1 on bottom right
VizWiz_train_000000000130.jpg,VizWiz_train_000000000130.jpg,What is this item?,other,0,1,1,0,0,television,tv,flat screen tv,tv,television,tv,flat screen tv,tv,tv,television
VizWiz_train_000000000133.jpg,VizWiz_train_000000000133.jpg,What book is this?,other,1,1,0,0,0,tale 2 cities,tale 2 cities,tale 2 cities,tale 2 cities,tale 2 cities,unsuitable,tale 2 cities,tale 2 cities,book,tale 2 cities
VizWiz_train_000000000134.jpg,VizWiz_train_000000000134.jpg,What is this a picture of?,other,1,1,1,0,0,sugar,sugar,sugar,sugar,domino sugar,domino sugar,sugar,sugar,domino sugar,sugar
VizWiz_train_000000000136.jpg,VizWiz_train_000000000136.jpg,What is in this can?,other,1,1,0,0,0,corn,corn,corn,whole kernel corn,great value golden sweet whole kernel corn,golden sweet whole kernel corn,whole kernel corn,corn,corn,corn
VizWiz_train_000000000138.jpg,VizWiz_train_000000000138.jpg,what kind of soda is this,other,1,1,0,0,0,pepsi,pepsi wild cherry,pepsi wild cherry,pepsi,pepsi,pepsi,pepsi,wild cherry pepsi,pepsi,wild cherry pepsi
VizWiz_train_000000000139.jpg,VizWiz_train_000000000139.jpg,What is this? ,unanswerable,1,1,0,0,0,italian seasoning,italian season,italian spices,herbs,italian herbs,herbs,unanswerable,unsuitable,unanswerable,spice
VizWiz_train_000000000140.jpg,VizWiz_train_000000000140.jpg,Can you tell me what this box says?,other,1,1,0,0,0,unanswerable,froot loops,unanswerable,ps,fruit loops,froot loops,pops,pops,unsuitable,fruit loops
VizWiz_train_000000000142.jpg,VizWiz_train_000000000142.jpg,What is this?,unanswerable,1,1,0,0,0,goldenseal,vitamin bottle,unsuitable,unanswerable,unanswerable,unsuitable,goldenseal,medicine,vitamins,supplement
VizWiz_train_000000000143.jpg,VizWiz_train_000000000143.jpg,Is this labeled as pouch A or pouch B? Thank you,other,1,1,0,0,0,pouch,,pouch,pouch,,,,,,pouch
VizWiz_train_000000000144.jpg,VizWiz_train_000000000144.jpg,What kind of tea is this?,other,0,1,1,0,0,earl grey,earl grey,this box bigelow earl grey tea,earl grey,black,earl grey,earl grey,earl grey,earl grey,earl grey
VizWiz_train_000000000145.jpg,VizWiz_train_000000000145.jpg,What's this?,other,1,1,0,0,0,bath salt,ergerg,bath salts,marine marina,bath soap,bath salt,bath salts,bath salts,mildeen brand bath salts they blue scent marine,scent beads
VizWiz_train_000000000146.jpg,VizWiz_train_000000000146.jpg,What is this tablet please?,other,1,1,0,0,0,folic acid,rotate to left unable to see label,folic 800,folic acid,unsuitable,unsuitable,folic acid,folic acid,unsuitable,supplement
VizWiz_train_000000000147.jpg,VizWiz_train_000000000147.jpg,What is in my refrigerator?,other,1,1,0,0,0,beer,gator aid olives beer,beer,beer,food,beer,bud light bottles cans gatorade olives sack oranges maybe,unanswerable,beer,bud light
VizWiz_train_000000000149.jpg,VizWiz_train_000000000149.jpg,What time is it and what kind of clock is it?,other,1,1,0,0,0,2:03 timex,2:03 timex clock,2:03 digital,2:03am,2:03 timex,2:03 timex digital,2:03,203 timex,2:03 timex,2:03 timex brand
VizWiz_train_000000000150.jpg,VizWiz_train_000000000150.jpg,What is this?,other,1,1,1,0,0,battery,battery,battery,battery,battery,battery,double aa battery in tool,battery,calks,aa battery
VizWiz_train_000000000152.jpg,VizWiz_train_000000000152.jpg,Can you please tell me what kind of coffee or tea this is?,other,1,1,1,0,0,green mountain coffee,green mountain sumatra reserve,extra bold summer reserve,green mountain coffee extra bold,extra bold sumatran reserve,extra bold,green mountain,green mountain coffee extra bold,unanswerable,sumatran reserve extra bold
VizWiz_train_000000000153.jpg,VizWiz_train_000000000153.jpg,What is this bottle?,other,1,1,1,0,0,vitamins,melatonin,melatonin,dietary supplement,melatonin,melatonin,melatonin,melatonin,melatonin,melatonin
VizWiz_train_000000000157.jpg,VizWiz_train_000000000157.jpg,What's on the outside of this box?,other,1,1,0,0,0,writing,kroger anti diarrheal,anti diarrheal medicine,anti diarrheal,unanswerable,krogers anti diarrheal medicine,information,anti diarrhea,anti diarrheal,anti diarrheal
VizWiz_train_000000000160.jpg,VizWiz_train_000000000160.jpg,What flavor of juice is this? Thank you.,other,1,1,0,0,0,green apple,gushing green apple,green apple,green apple,green apple,gushing green apple,green apple,gushing green apple,green apple,green apple
VizWiz_train_000000000161.jpg,VizWiz_train_000000000161.jpg,What is this?,other,0,1,0,0,0,dog,dog,dog,dog,dog,dog,dog,dog,dog,dog
VizWiz_train_000000000162.jpg,VizWiz_train_000000000162.jpg,What color are my shoes?,other,0,1,1,0,0,cream,tan,tan,light tan,nude,nude,sd,light tan,tan,cream
VizWiz_train_000000000163.jpg,VizWiz_train_000000000163.jpg,What this student planner?,other,1,1,1,1,0,unanswerable,asfasf,student planner,blue,yes,organization,blue,2012 2013 rs sports,concerns sports activities,yes
VizWiz_train_000000000165.jpg,VizWiz_train_000000000165.jpg,What color is this sweater,other,0,1,1,0,0,bue green,black,black,black,black,black,black,black,black,black
VizWiz_train_000000000166.jpg,VizWiz_train_000000000166.jpg,What is this?,other,1,1,0,0,0,gourmet cookie dough,cookie dough,gourmet cookie dough,gourmet cooking dough,cookie dough,gourmet cookie dough,double chocolate brownie cookie dough,gourmet cookie dough,gourmet cookie dough double chocolate brownie,double chocolate brownie dough
VizWiz_train_000000000167.jpg,VizWiz_train_000000000167.jpg,what kind of popsicle is this?,other,1,1,0,0,0,suez walnut,suez walnut,suez walnut,suez walnut,suez walnut,walnut,walnut,walnut,unanswerable,walnut
VizWiz_train_000000000168.jpg,VizWiz_train_000000000168.jpg,What is this?,other,1,1,0,0,0,vitamin shot drink,fiber,fiber vitamins,fiber,medicine,fiber,fiber,fiber n,unanswerable,this food item
VizWiz_train_000000000169.jpg,VizWiz_train_000000000169.jpg,Can you please tell me what color this shirt is? Thank you.,other,0,1,1,0,0,pink white paisley,pink,pink,pink,pink,pink white floral,pink,red floral,pink white,pink white flower design
VizWiz_train_000000000170.jpg,VizWiz_train_000000000170.jpg,What? What is this?,other,1,1,1,0,0,low fat evaporated milk,bonny low fat evaporated milk,low fat evaporated milk,gfdg,evaporated milk,low fat evaporated milk,low fat evaporated milk,evaporated milk,evaporated milk,bonny low fat evaporated milk
VizWiz_train_000000000172.jpg,VizWiz_train_000000000172.jpg,What is this?,other,1,1,0,0,0,icecream maker,ice cream maker,ice cream maker,ice cream maker,ice cream maker,cuisinart frozen yogurt sorbet maker,cuisinart ice cream maker,qt ice cream maker,appliance,sorbet maker
VizWiz_train_000000000173.jpg,VizWiz_train_000000000173.jpg,What is this?,other,1,1,0,0,0,20 dollar bill,20 dollars,money,20 dollar bill,$20,20 dollar bill,20 dollar bill,20 dollar bill,money,us 20 dollar bill
VizWiz_train_000000000174.jpg,VizWiz_train_000000000174.jpg,What is this CD?,unanswerable,1,1,0,0,0,charles dickens christmas carol,unsuitable,christmas carol,unanswerable,christmas carol,opera,unsuitable,no,image cut off charles dickens christmas carol,unsuitable
VizWiz_train_000000000175.jpg,VizWiz_train_000000000175.jpg,What is that?,other,0,1,0,0,0,tv,tv,tv news,tv,unsuitable,tv,monitor,tv,tv screen maybe news on,news
VizWiz_train_000000000176.jpg,VizWiz_train_000000000176.jpg,Whats the model number?,other,1,1,0,0,0,ef18 88,ef18 88,ef18 88,ef18 88,ef1888,ef18 88,ef18 88,ef18 88,ef18 88,ef 18 88
VizWiz_train_000000000177.jpg,VizWiz_train_000000000177.jpg,What soap is this?,other,1,0,0,0,0,lever 2000,lever 2000,lever 2000,lever 2000,lever,lever 2000,lever 2000,lever 2000,lever 2000,lever 2000
VizWiz_train_000000000178.jpg,VizWiz_train_000000000178.jpg,What is this item.,other,1,1,0,0,0,color conditioning treatment,unanswerable,color conditioning treatment,conditioner,conditioner,color conditioner,color conditioning treatment,conditioner,color conditioning treatment,lotion
VizWiz_train_000000000179.jpg,VizWiz_train_000000000179.jpg,What is this photo?,other,0,1,0,0,0,closet,bedroom,bedroom door,bedroom,ds,closet,unanswerable,unanswerable,unsuitable,corner bedroom
VizWiz_train_000000000180.jpg,VizWiz_train_000000000180.jpg,What is the captcha image?,other,1,1,0,0,0,unanswerable,unsuitable,rf7i,rf7b,rf7t,unsuitable,rp7,rf7e,rp7,rf7f
VizWiz_train_000000000183.jpg,VizWiz_train_000000000183.jpg,What is it,other,0,1,0,0,0,middle finger,finger,dog middle finger,dog,dog,finger,middle finger,this doll,middle finger small dog,finger
VizWiz_train_000000000184.jpg,VizWiz_train_000000000184.jpg,What color are these jeans,other,0,1,1,0,0,black,grey,grey,black,black,grey,black,grey,black,grey
VizWiz_train_000000000185.jpg,VizWiz_train_000000000185.jpg,What's in this basket?,other,1,1,0,0,0,candy,candy,candy,candy,candy,candy,candy,candy,satchets,candy
VizWiz_train_000000000187.jpg,VizWiz_train_000000000187.jpg,What flavor is this?,other,1,1,0,0,0,answerable,apples chicken,apples,apples,apples chicken,apples,unanswerable,apple,apples chicken,apples
